artist_id,artist_name,artist_country
AR00A6H1187FB5402A,The Meatmen,United States
AR00MBZ1187B9B5DB1,Memphis Minnie,United States
AR01IP11187B9AF5D2,Call To Preserve,United States
AR01VU31187B997DA0,Grand Funk,United States
AR01W2D1187FB5912F,3OH!3,United States
AR022JO1187B99587B,Ross,Indonesia
AR02YGA1187B9B8AC4,Bersuit Vergarabat,Argentina
AR035N21187FB3938E,BT,United States
AR03BDP1187FB5B324,Britney Spears,United States
AR048JZ1187B9AEB85,Yellowcard,United States
AR04KTB1187B99B6B7,The Disposable Heroes Of Hiphoprisy,United States
AR059HI1187B9A14D7,Roy Drusky,United States
AR05IU31187B9B9A1A,Alex Ubago,Spain
AR05KQA1187B9963B3,D'Molls,United States
AR05VW21187FB407B4,Fudge Tunnel,United Kingdom
AR061J011A348F060F,Ximena Sarinana,Mexico
AR06M3F1187FB38BED,Mississippi Fred McDowell,United States
AR06USW1187FB4EACA,The Lord Weird Slough Feg,United States
AR08DYV1187B99A0D7,Reach 454,United States
AR08NXW1187B99526D,Die Symphony,United States
AR0B1CH1187FB3A824,Charlie Rich,United States
AR0B3RS1187FB48F5D,Why?,United States
AR0B6VD1187B99C293,Uphill Battle,United States
AR0CANF1187B9AF35F,Dilated Peoples,United States
AR0G47L1187B98CC6D,Frank Chacksfield,United Kingdom
AR0IAWL1187B9A96D0,Danilo Perez,Panama
AR0ILWV1187FB47CAA,Mouth Of The Architect,United States
AR0IVSA1187FB4F069,Helmet,United States
AR0JEOI1187B98B918,Erik Berglund,United States
AR0JURX1187FB3C8FF,Illya Kuryaki And The Valderramas,United States
AR0KBXO1187B996460,Slipknot,United States
AR0LPDJ1187B9919F1,Derek Bell,United Kingdom
AR0LVFQ1187B9A84E0,Jason Miles,United States
AR0N0DX1187FB41327,The Master Musicians of Jajouka featuring Bachir Attar,United Kingdom
AR0N9BV1187FB3AD01,Gene Pitney,United States
AR0NKFJ1187B9AF1FF,Neil Innes,United Kingdom
AR0NQD81187FB3AD13,Gary Morris,United States
AR0O3AV1187FB4D030,Wayne Kramer,United States
AR0OEYB1187FB4A81E,Catherine Howe,United Kingdom
AR0PUK71187B9AC3C0,Marvin Hamlisch,United States
AR0QT3O1187FB56860,Ronnie Drew,Ireland
AR0RCMP1187FB3F427,Billie Jo Spears,United States
AR0S0EO1187FB490BE,Disco D,United States
AR0SZW11187B98C5E5,Beat Pharmacy,United States
AR0TZ7T1187B994E37,Dave Baby Cortez,United States
AR0U44O1187B99007C,Republica;Jonny Male;Dave Arch,United Kingdom
AR0V36F1187FB366B1,The Chieftains;Colin James,Ireland
AR0VIQV1187B9978F8,The Products,United States
AR0VR1O1187B9A0F1F,Truckfighters,Sweden
AR0VS771187B99564F,Rocky Hill,Germany
AR0VZWC1187B99BA57,The Berzerker,Australia
AR0WAW61187B98B7D7,Doug MacLeod,United States
AR0WQ1Q1187B992E16,Richard Smith,United States
AR0WV4Y1187B99B806,Rhian Benson,Ghana
AR0WXWU1187B9AB33F,The Red Telephone,United States
AR0XJ291187FB45855,Drexel,United States
AR0XSOO1187B9B9E88,Buzzcocks,United Kingdom
AR12MUW1187B9A5DF4,Ricardo Lemvo,United States
AR13CXU1187B9AD30A,The Clash,United Kingdom
AR14CJ91187FB3A994,Eddy Arnold,United States
AR1518Q1187B98A906,Poptart Monkeys,United States
AR15FQ11187FB36BE8,Chaka Demus & Pliers,Jamaica
AR15YLD1187FB3D4DD,John Tchicai,Denmark
AR16NGV1187FB5B8BC,Kruger,Switzerland
AR180PG1187B997BAE,Donnie Brooks,United States
AR190KO1187B9905EC,Sick Puppies,United States
AR19GQN1187FB3ACF5,The Bucketheads,United States
AR19SOA1187B98F6E6,Bob Neuwirth,United States
AR1ABAO1187FB531E1,Alice Cooper,United States
AR1BA6K1187B9A5656,Helen O'Connell,United States
AR1BZED1187FB4CDEE,Wendy Moten,United States
AR1CB5G1187B9AFB8E,Electric Light Orchestra,United Kingdom
AR1CD5Z1187B98F2C2,Pat Metheny,United States
