matricula;curso;totalcadeira;reprovadonota;reprovadofalta;trancado;perido;media;codevasao
308161127;11124100;7.0;0.2857142857142857;0.0;0.0;1109050;6.385714285714286;
308160380;14102100;6.0;0.6666666666666666;0.0;0.0;1109035;3.266666666666667;
308160251;14102100;6.0;0.0;0.0;0.0;1305218;7.55;
308162114;14102100;6.0;0.3333333333333333;0.5;0.0;1411167;2.15;
308161382;14102100;5.0;0.0;0.0;0.0;1411184;6.94;
308161337;14102100;4.0;0.0;0.0;0.0;1411244;5.725;
308162012;11124100;6.0;0.0;0.0;0.0;1304013;8.450000000000001;
308161355;14102100;6.0;0.16666666666666666;0.0;0.0;1307151;6.3999999999999995;
308160296;14102100;7.0;0.0;0.14285714285714285;0.0;1411189;6.2;
308162003;11124100;5.0;0.0;0.0;0.0;1105187;7.459999999999999;
308162333;11124100;7.0;0.14285714285714285;0.8571428571428571;0.0;1105155;0.14285714285714285;
308160497;14102100;5.0;0.0;0.6;0.0;1411172;3.2399999999999998;
308162648;14102100;5.0;0.6;0.0;0.0;1411174;4.0200000000000005;
308161130;11124100;7.0;0.0;0.0;0.0;1105167;6.871428571428572;
308162621;11124100;6.0;0.0;0.0;0.0;1105186;8.066666666666668;
308162435;11124100;7.0;0.0;0.2857142857142857;0.0;1109050;4.942857142857143;
308162105;14102100;6.0;0.3333333333333333;0.0;0.0;1109103;5.383333333333333;
308160395;14102100;9.0;0.0;0.1111111111111111;0.0;1411184;7.2555555555555555;
308162837;11124100;4.0;0.0;0.0;0.0;1108025;6.6499999999999995;
308160329;14102100;6.0;0.5;0.5;0.0;1411180;1.5333333333333332;
308280242;11124100;7.0;0.14285714285714285;0.5714285714285714;0.0;1305036;2.357142857142857;
308161394;14102100;3.0;0.0;0.0;0.0;1411167;7.7;
308161373;14102100;6.0;0.5;0.0;0.0;1109049;3.9666666666666672;
308161463;14102100;6.0;0.3333333333333333;0.0;0.0;1411180;4.833333333333333;
308161295;14102100;5.0;0.6;0.0;0.0;1109103;4.76;
308161991;11124100;5.0;0.4;0.0;0.0;1105013;5.48;
308161370;14102100;1.0;0.0;1.0;0.0;1411174;0.0;
308160323;14102100;6.0;0.0;0.0;0.0;1305219;6.833333333333333;
308160464;14102100;1.0;0.0;0.0;0.0;1411193;5.9;
308280152;14102100;6.0;0.16666666666666666;0.0;0.0;1411174;6.616666666666666;
308163110;11124100;6.0;0.16666666666666666;0.3333333333333333;0.0;1109050;3.15;
308161427;14102100;6.0;0.3333333333333333;0.0;0.0;1109035;5.516666666666667;
308162111;14102100;5.0;0.0;0.2;0.0;1411185;5.58;
308162966;14102100;6.0;0.16666666666666666;0.16666666666666666;0.0;1411180;4.7;
