matricula;curso;totalcadeira;reprovadonota;reprovadofalta;trancado;perido;media;codevasao
308162105;14102100;6.0;0.3333333333333333;0.0;0.0;1109103;5.383333333333333;
308160395;14102100;9.0;0.0;0.1111111111111111;0.0;1411184;7.2555555555555555;
308160329;14102100;6.0;0.5;0.5;0.0;1411180;1.5333333333333332;
308161394;14102100;3.0;0.0;0.0;0.0;1411167;7.7;
308160380;14102100;6.0;0.6666666666666666;0.0;0.0;1109035;3.266666666666667;
308160251;14102100;6.0;0.0;0.0;0.0;1305218;7.55;
308161373;14102100;6.0;0.5;0.0;0.0;1109049;3.9666666666666672;
308162114;14102100;6.0;0.3333333333333333;0.5;0.0;1411167;2.15;
308161382;14102100;5.0;0.0;0.0;0.0;1411184;6.94;
308161337;14102100;4.0;0.0;0.0;0.0;1411244;5.725;
308161463;14102100;6.0;0.3333333333333333;0.0;0.0;1411180;4.833333333333333;
308161295;14102100;5.0;0.6;0.0;0.0;1109103;4.76;
308161370;14102100;1.0;0.0;1.0;0.0;1411174;0.0;
308160323;14102100;6.0;0.0;0.0;0.0;1305219;6.833333333333333;
308160464;14102100;1.0;0.0;0.0;0.0;1411193;5.9;
308280152;14102100;6.0;0.16666666666666666;0.0;0.0;1411174;6.616666666666666;
308161355;14102100;6.0;0.16666666666666666;0.0;0.0;1307151;6.3999999999999995;
308160296;14102100;7.0;0.0;0.14285714285714285;0.0;1411189;6.2;
308160497;14102100;5.0;0.0;0.6;0.0;1411172;3.2399999999999998;
308161427;14102100;6.0;0.3333333333333333;0.0;0.0;1109035;5.516666666666667;
308162111;14102100;5.0;0.0;0.2;0.0;1411185;5.58;
308162648;14102100;5.0;0.6;0.0;0.0;1411174;4.0200000000000005;
308162966;14102100;6.0;0.16666666666666666;0.16666666666666666;0.0;1411180;4.7;
