CURSO,COD_EVASAO,PERIODO,CODIGO,DEPARTAMENTO,MEDIA,SITUACAO,MATRICULA,PERIODO_INGRESSO
14102100,0,2009.2,1411190,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,6,Aprovado,302160164,2009.2
14102100,0,2009.2,1411189,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,5.1,Aprovado,302160164,2009.2
14102100,0,2009.2,1411188,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,7.2,Aprovado,302160164,2009.2
14102100,0,2009.2,1307150,UNID. ACAD. DE LETRAS,8.6,Aprovado,302160164,2009.2
14102100,0,2009.2,1411249,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,0,Reprovado por Falta,302160164,2009.2
14102100,1,2009.1,1307151,UNID. ACAD. DE LETRAS,2.9,Reprovado,301860317,2009.1
14102100,1,2009.1,1109035,UNID. ACAD. DE MATEMÁTICA,8.8,Aprovado,301860317,2009.1
14102100,1,2009.1,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,0,Reprovado por Falta,301860317,2009.1
14102100,1,2009.1,1109103,UNID. ACAD. DE MATEMÁTICA,2.5,Reprovado,301860317,2009.1
14102100,1,2009.1,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,0,Reprovado por Falta,301860317,2009.1
14102100,1,2009.1,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,2.6,Reprovado,301860317,2009.1
14102100,0,2007.2,1109035,UNID. ACAD. DE MATEMÁTICA,7.8,Aprovado,296160173,2007.2
14102100,0,2007.2,1109103,UNID. ACAD. DE MATEMÁTICA,7.2,Aprovado,296160173,2007.2
14102100,0,2007.2,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,8.3,Aprovado,296160173,2007.2
14102100,0,2007.2,1307151,UNID. ACAD. DE LETRAS,8.5,Aprovado,296160173,2007.2
14102100,0,2007.2,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,8.4,Aprovado,296160173,2007.2
14102100,0,2007.2,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,7.7,Aprovado,296160173,2007.2
14102100,0,2006.1,1307151,UNID. ACAD. DE LETRAS,7.4,Aprovado,292860479,2006.1
14102100,0,2006.1,1109103,UNID. ACAD. DE MATEMÁTICA,5.5,Aprovado,292860479,2006.1
14102100,0,2006.1,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,6.8,Aprovado,292860479,2006.1
14102100,0,2006.1,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,8.6,Aprovado,292860479,2006.1
14102100,0,2006.1,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,6.3,Aprovado,292860479,2006.1
14102100,0,2006.1,1109035,UNID. ACAD. DE MATEMÁTICA,7,Aprovado,292860479,2006.1
14102100,0,2007.1,1109103,UNID. ACAD. DE MATEMÁTICA,5.1,Aprovado,295860176,2007.1
14102100,0,2007.1,1307151,UNID. ACAD. DE LETRAS,8.9,Aprovado,295860176,2007.1
14102100,0,2007.1,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.1,Aprovado,295860176,2007.1
14102100,0,2007.1,1109035,UNID. ACAD. DE MATEMÁTICA,7,Aprovado,295860176,2007.1
14102100,0,2007.1,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.4,Aprovado,295860176,2007.1
14102100,0,2007.1,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.5,Aprovado,295860176,2007.1
14102100,1,2011.1,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,3.7,Reprovado,307860512,2011.1
14102100,1,2011.1,1109035,UNID. ACAD. DE MATEMÁTICA,0.2,Reprovado,307860512,2011.1
14102100,1,2011.1,1109103,UNID. ACAD. DE MATEMÁTICA,0,Reprovado por Falta,307860512,2011.1
14102100,1,2011.1,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,3.4,Reprovado,307860512,2011.1
14102100,1,2011.1,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,0,Reprovado por Falta,307860512,2011.1
14102100,0,2007.1,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9,Aprovado,295861433,2007.1
14102100,0,2007.1,1307151,UNID. ACAD. DE LETRAS,9.2,Aprovado,295861433,2007.1
14102100,0,2007.1,1109103,UNID. ACAD. DE MATEMÁTICA,3.7,Reprovado,295861433,2007.1
14102100,0,2007.1,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,8.8,Aprovado,295861433,2007.1
14102100,0,2007.1,1109035,UNID. ACAD. DE MATEMÁTICA,7.5,Aprovado,295861433,2007.1
14102100,0,2007.1,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.3,Aprovado,295861433,2007.1
14102100,0,2008.2,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,8,Aprovado,299161187,2008.2
14102100,0,2008.2,1109035,UNID. ACAD. DE MATEMÁTICA,5.6,Aprovado,299161187,2008.2
14102100,0,2008.2,1109103,UNID. ACAD. DE MATEMÁTICA,7,Aprovado,299161187,2008.2
14102100,0,2008.2,1307151,UNID. ACAD. DE LETRAS,7.5,Aprovado,299161187,2008.2
14102100,0,2008.2,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,3.2,Reprovado,299161187,2008.2
14102100,0,2008.2,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,5.6,Aprovado,299161187,2008.2
14102100,0,2007.1,1307151,UNID. ACAD. DE LETRAS,8.4,Aprovado,295860215,2007.1
14102100,0,2007.1,1109035,UNID. ACAD. DE MATEMÁTICA,7,Aprovado,295860215,2007.1
14102100,0,2007.1,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,8.8,Aprovado,295860215,2007.1
14102100,0,2007.1,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,8.7,Aprovado,295860215,2007.1
14102100,0,2007.1,1109103,UNID. ACAD. DE MATEMÁTICA,7.4,Aprovado,295860215,2007.1
14102100,0,2007.1,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.1,Aprovado,295860215,2007.1
14102100,0,2006.1,1109103,UNID. ACAD. DE MATEMÁTICA,5.1,Aprovado,292860491,2006.1
14102100,0,2006.1,1411180,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.1,Aprovado,292860491,2006.1
14102100,0,2006.1,1307151,UNID. ACAD. DE LETRAS,8.7,Aprovado,292860491,2006.1
14102100,0,2006.1,1109035,UNID. ACAD. DE MATEMÁTICA,5.4,Aprovado,292860491,2006.1
14102100,0,2006.1,1411167,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.8,Aprovado,292860491,2006.1
14102100,0,2006.1,1411174,UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO,9.3,Aprovado,292860491,2006.1
14102100,0,2006.2,1307151,UNID. ACAD. DE LETRAS,9.2,Aprovado,293160566,2006.2
14102100,0,2006.2,1109035,UNID. ACAD. DE MATEMÁTICA,5.6,Aprovado,293160566,2006.2
