matricula;curso;totalcadeira;reprovadonota;reprovadofalta;trancado;perido;media;codevasao
292861763;11124100;7.0;0.0;0.0;0.14285714285714285;2006.1;7.1;0
296160713;11124100;7.0;0.0;1.0;0.0;2007.2;0.0;1
295861763;11124100;7.0;0.14285714285714285;0.5714285714285714;0.14285714285714285;2007.1;1.3285714285714287;0
292861766;11124100;7.0;0.0;0.0;0.0;2006.1;7.828571428571429;0
305161595;11124100;6.0;0.0;0.0;0.0;2010.2;7.0;0
299160695;11124100;6.0;0.0;0.0;0.16666666666666666;2008.2;6.666666666666667;1
298860971;11124100;6.0;0.0;0.0;0.0;2008.1;8.966666666666667;0
307860239;11124100;5.0;0.0;0.4;0.0;2011.1;4.58;0
292861769;11124100;6.0;0.0;0.0;0.0;2006.1;8.083333333333334;0
292862627;11124100;6.0;0.0;0.3333333333333333;0.16666666666666666;2006.1;4.083333333333333;0
302161508;11124100;6.0;0.0;0.0;0.0;2009.2;8.45;0
304980686;11124100;7.0;0.14285714285714285;0.7142857142857143;0.0;2010.1;1.042857142857143;1
299160929;11124100;4.0;0.0;0.25;0.0;2008.2;5.25;0
299160926;11124100;6.0;0.0;0.0;0.0;2008.2;7.566666666666667;0
293161880;11124100;7.0;0.0;0.0;0.0;2006.2;8.785714285714286;0
307861778;11124100;4.0;0.0;0.0;0.0;2011.1;6.45;0
293161886;11124100;5.0;0.0;0.0;0.0;2006.2;8.959999999999999;0
293162102;11124100;7.0;0.0;0.0;0.0;2006.2;8.342857142857143;0
296160725;11124100;4.0;0.0;1.0;0.0;2007.2;0.0;1
292861754;11124100;7.0;0.0;0.14285714285714285;0.0;2006.1;6.114285714285714;0
293162171;11124100;7.0;0.0;0.0;0.0;2006.2;7.3428571428571425;0
298861052;11124100;7.0;0.0;0.0;0.0;2008.1;8.814285714285715;0
301861745;11124100;3.0;0.0;0.0;0.0;2009.1;6.566666666666666;0
304980797;11124100;6.0;0.0;0.0;0.0;2010.1;6.733333333333333;0
305161598;11124100;4.0;0.75;0.0;0.0;2010.2;4.3500000000000005;0
305161913;11124100;6.0;0.0;0.0;0.0;2010.2;6.333333333333332;0
292861757;11124100;6.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;2006.1;4.166666666666667;0
292862636;11124100;7.0;0.0;0.0;0.42857142857142855;2006.1;4.885714285714286;0
305161127;11124100;6.0;0.0;0.8333333333333334;0.0;2010.2;1.1666666666666667;1
304861754;11124100;6.0;0.0;0.0;0.0;2010.1;8.5;0
292862645;11124100;6.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;2006.1;4.233333333333333;0
292862642;11124100;3.0;0.0;0.0;0.0;2006.1;7.966666666666666;0
307861742;11124100;3.0;0.0;1.0;0.0;2011.1;0.0;1
305161166;11124100;6.0;0.16666666666666666;0.16666666666666666;0.0;2010.2;4.733333333333333;0
295861880;11124100;5.0;0.0;0.0;0.0;2007.1;8.84;0
298861007;11124100;7.0;0.0;0.0;0.0;2008.1;9.4;0
304861757;11124100;2.0;0.0;0.0;0.0;2010.1;6.0;0
305161571;11124100;4.0;0.0;0.5;0.0;2010.2;3.55;0
293162165;11124100;5.0;0.2;0.0;0.0;2006.2;7.08;0
292861805;11124100;6.0;0.3333333333333333;0.0;0.16666666666666666;2006.1;4.3999999999999995;0
292861802;11124100;5.0;0.0;0.0;0.0;2006.1;7.94;0
296160734;11124100;4.0;0.0;0.0;0.0;2007.2;6.975;0
295861580;11124100;7.0;0.0;0.0;0.0;2007.1;8.828571428571427;0
305161568;11124100;6.0;0.3333333333333333;0.0;0.0;2010.2;6.283333333333334;0
302160860;11124100;6.0;0.0;0.0;0.0;2009.2;7.183333333333333;0
292861748;11124100;6.0;0.0;0.0;0.0;2006.1;7.583333333333333;0
295860950;11124100;6.0;0.0;0.0;0.16666666666666666;2007.1;4.933333333333334;0
302161247;11124100;6.0;0.0;0.3333333333333333;0.0;2009.2;4.75;0
301861673;11124100;6.0;0.0;0.0;0.0;2009.1;7.6499999999999995;0
301861670;11124100;6.0;0.16666666666666666;0.16666666666666666;0.0;2009.1;4.833333333333333;0
293161904;11124100;7.0;0.42857142857142855;0.5714285714285714;0.0;2006.2;1.0714285714285714;0
293161862;11124100;7.0;0.14285714285714285;0.0;0.0;2006.2;7.457142857142856;0
299160962;11124100;7.0;0.0;0.0;0.0;2008.2;7.999999999999999;0
292862750;11124100;6.0;0.0;1.0;0.0;2006.1;0.0;0
298860983;11124100;7.0;0.14285714285714285;0.5714285714285714;0.0;2008.1;2.9857142857142853;0
292861733;11124100;7.0;0.0;0.0;0.0;2006.1;7.214285714285715;0
295861772;11124100;6.0;0.0;0.0;0.0;2007.1;8.65;0
301862927;11124100;6.0;0.3333333333333333;0.0;0.0;2009.1;5.566666666666666;0
305161577;11124100;7.0;0.2857142857142857;0.0;0.0;2010.2;5.3428571428571425;0
295861775;11124100;7.0;0.0;0.0;1.0;2007.1;0.0;0
301862726;11124100;7.0;0.0;0.0;0.0;2009.1;8.785714285714286;0
295860941;11124100;7.0;0.0;0.0;0.0;2007.1;9.014285714285714;0
292861739;11124100;7.0;0.2857142857142857;0.0;0.0;2006.1;5.714285714285714;0
293161910;11124100;6.0;0.16666666666666666;0.0;0.0;2006.2;7.166666666666665;0
298861829;11124100;2.0;0.0;0.0;0.0;2008.1;7.5;0
299160956;11124100;6.0;0.0;0.0;0.0;2008.2;8.016666666666666;0
298861826;11124100;7.0;0.0;0.0;0.0;2008.1;7.428571428571429;0
295860947;11124100;7.0;0.0;0.0;0.0;2007.1;7.571428571428571;0
302161439;11124100;4.0;0.25;0.0;0.0;2009.2;5.025;1
301860266;11124100;7.0;0.0;0.0;0.0;2009.1;8.442857142857141;0
295860875;11124100;7.0;0.0;0.0;0.0;2007.1;7.528571428571429;0
299160653;11124100;6.0;0.3333333333333333;0.0;0.0;2008.2;5.533333333333332;0
293161859;11124100;6.0;0.3333333333333333;0.0;0.0;2006.2;5.166666666666667;0
302161292;11124100;7.0;0.14285714285714285;0.2857142857142857;0.0;2009.2;4.728571428571429;0
293161853;11124100;6.0;0.0;0.0;0.0;2006.2;9.133333333333333;0
298861022;11124100;1.0;0.0;0.0;0.0;2008.1;9.8;0
299160968;11124100;7.0;0.0;0.0;0.0;2008.2;7.585714285714287;0
304862870;11124100;7.0;0.42857142857142855;0.0;0.0;2010.1;6.3999999999999995;0
295860938;11124100;7.0;0.0;0.0;0.0;2007.1;8.2;0
296161049;11124100;7.0;0.14285714285714285;0.0;0.0;2007.2;7.185714285714285;0
292861799;11124100;5.0;0.0;0.0;0.0;2006.1;7.859999999999999;0
296161046;11124100;1.0;0.0;0.0;1.0;2007.2;0.0;1
295860872;11124100;7.0;0.0;0.0;0.0;2007.1;8.314285714285715;0
296161031;11124100;5.0;0.0;0.0;0.2;2007.2;5.5200000000000005;0
292861790;11124100;6.0;0.16666666666666666;0.0;0.0;2006.1;6.283333333333332;0
295860863;11124100;2.0;0.0;1.0;0.0;2007.1;0.0;1
305161232;11124100;4.0;0.0;0.0;0.0;2010.2;6.249999999999999;0
299160662;11124100;7.0;0.0;0.0;0.0;2008.2;7.942857142857142;0
305161850;11124100;3.0;0.0;0.0;0.0;2010.2;6.8;0
302160962;11124100;6.0;0.0;0.0;0.0;2009.2;7.400000000000001;0
299161139;11124100;5.0;0.0;0.0;0.0;2008.2;7.760000000000001;0
298861016;11124100;6.0;0.16666666666666666;0.16666666666666666;0.0;2008.1;6.033333333333334;0
292861814;11124100;4.0;0.0;0.75;0.25;2006.1;0.0;0
298861010;11124100;3.0;0.0;0.0;0.0;2008.1;8.466666666666667;0
292861811;11124100;7.0;0.0;0.0;1.0;2006.1;0.0;0
295860920;11124100;2.0;0.0;0.0;0.0;2007.1;9.25;0
301861700;11124100;8.0;0.0;0.0;0.0;2009.1;7.2125;0
305161226;11124100;3.0;0.0;0.0;0.0;2010.2;6.400000000000001;1
296161055;11124100;7.0;0.42857142857142855;0.0;0.0;2007.2;5.785714285714286;0
299160659;11124100;5.0;0.2;0.2;0.0;2008.2;4.18;0
293162120;11124100;7.0;0.14285714285714285;0.14285714285714285;0.0;2006.2;5.771428571428571;0
305161220;11124100;6.0;0.0;0.0;0.0;2010.2;7.574999999999999;0
298861049;11124100;7.0;0.2857142857142857;0.0;0.0;2008.1;6.971428571428571;0
296161112;11124100;7.0;0.0;0.0;0.0;2007.2;7.457142857142856;0
292861778;11124100;7.0;0.0;1.0;0.0;2006.1;0.0;0
301862951;11124100;4.0;0.5;0.0;0.0;2009.1;5.125;0
299161208;11124100;7.0;0.14285714285714285;0.42857142857142855;0.0;2008.2;3.1142857142857143;0
296161019;11124100;7.0;0.0;0.0;0.0;2007.2;9.1;0
304863089;11124100;6.0;0.3333333333333333;0.0;0.0;2010.1;5.566666666666666;0
296160785;11124100;6.0;0.16666666666666666;0.3333333333333333;0.0;2007.2;4.8;0
295860917;11124100;7.0;0.0;0.0;0.0;2007.1;6.614285714285714;0
292861772;11124100;6.0;0.0;0.0;0.0;2006.1;8.433333333333332;0
298861043;11124100;6.0;0.0;0.0;0.0;2008.1;8.350000000000001;0
295860890;11124100;7.0;0.0;0.0;0.0;2007.1;9.214285714285714;0
293162126;11124100;6.0;0.0;1.0;0.0;2006.2;0.0;0
295860893;11124100;6.0;0.0;0.0;0.0;2007.1;8.6;0
296161013;11124100;7.0;0.0;0.0;1.0;2007.2;0.0;1
293162123;11124100;6.0;0.5;0.0;0.0;2006.2;5.55;0
295860884;11124100;7.0;0.0;0.0;0.0;2007.1;8.2;0
305161211;11124100;6.0;0.0;0.0;0.0;2010.2;8.45;0
301860179;11124100;7.0;0.0;0.0;0.0;2009.1;8.657142857142858;0
