CURSO;PERIODO;CODIGO;DEPARTAMENTO;MEDIA;SITUACAO;MATRICULA;PERIODO_INGRESSO
14102100;2011.2;1305219;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.2;Aprovado;308160323;2011.2
14102100;2011.2;1411178;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308160323;2011.2
14102100;2011.2;1114107;UNID. ACAD. DE ESTATÍSTICA;5.7;Aprovado;308160323;2011.2
14102100;2011.2;1411172;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.1;Aprovado;308160323;2011.2
14102100;2011.2;1411171;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.8;Aprovado;308160323;2011.2
14102100;2011.2;1411179;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.2;Aprovado;308160323;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308160329;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;2.3;Reprovado;308160329;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308160329;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;3.7;Reprovado;308160329;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308160329;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;3.2;Reprovado;308160329;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308161370;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308161370;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;3.2;Reprovado;308161370;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0.2;Reprovado;308161370;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308161370;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308161370;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7;Aprovado;308161394;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.7;Aprovado;308161394;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.4;Aprovado;308161394;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;6.6;Aprovado;308161394;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;1;Reprovado;308161394;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.2;Aprovado;308161394;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.5;Aprovado;308161424;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;9;Aprovado;308161424;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;9.1;Aprovado;308161424;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;8.7;Aprovado;308161424;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;5.8;Aprovado;308161424;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;7.8;Aprovado;308161424;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.8;Aprovado;308162966;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;5.8;Aprovado;308162966;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308162966;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0.7;Reprovado;308162966;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;8.2;Aprovado;308162966;2011.2
14102100;2011.2;1411174;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.7;Aprovado;308162966;2011.2
14102100;2011.2;1411167;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308162114;2011.2
14102100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;2.4;Reprovado;308162114;2011.2
14102100;2011.2;1411180;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308162114;2011.2
14102100;2011.2;1307151;UNID. ACAD. DE LETRAS;7.3;Aprovado;308162114;2011.2
14102100;2011.2;1109103;UNID. ACAD. DE MATEMÁTICA;3.2;Reprovado;308162114;2011.2
