CURSO;PERIODO;CODIGO;DEPARTAMENTO;MEDIA;SITUACAO;MATRICULA;PERIODO_INGRESSO
11124100;2011.2;1305036;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;7;Aprovado;308280242;2011.2
11124100;2011.2;1105155;UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1305033;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.5;Aprovado;308280242;2011.2
11124100;2011.2;1105301;UNID. ACAD. DE ENGENHARIA MECÂNICA;1;Reprovado;308280242;2011.2
11124100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;0;Reprovado por Falta;308280242;2011.2
11124100;2011.2;1105167;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.2;Aprovado;308161130;2011.2
11124100;2011.2;1105169;UNID. ACAD. DE ENGENHARIA MECÂNICA;7;Aprovado;308161130;2011.2
11124100;2011.2;1105361;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.4;Aprovado;308161130;2011.2
11124100;2011.2;1105183;UNID. ACAD. DE ENGENHARIA MECÂNICA;5;Aprovado;308161130;2011.2
11124100;2011.2;1109010;UNID. ACAD. DE MATEMÁTICA;6.9;Aprovado;308161130;2011.2
11124100;2011.2;1114052;UNID. ACAD. DE ESTATÍSTICA;6.1;Aprovado;308161130;2011.2
11124100;2011.2;1411075;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;7.5;Aprovado;308161130;2011.2
11124100;2011.2;1304013;UNID. ACAD. DE EDUCAÇÃO;10;Aprovado;308162012;2011.2
11124100;2011.2;1107131;UNID. ACAD. DE ENGENHARIA QUÍMICA;7.3;Aprovado;308162012;2011.2
11124100;2011.2;1305033;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.5;Aprovado;308162012;2011.2
11124100;2011.2;1305036;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.8;Aprovado;308162012;2011.2
11124100;2011.2;1105163;UNID. ACAD. DE ENGENHARIA MECÂNICA;7;Aprovado;308162012;2011.2
11124100;2011.2;1307011;UNID. ACAD. DE LETRAS;9.1;Aprovado;308162012;2011.2
11124100;2011.2;1105187;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.8;Aprovado;308162003;2011.2
11124100;2011.2;1109010;UNID. ACAD. DE MATEMÁTICA;6.5;Aprovado;308162003;2011.2
11124100;2011.2;1105025;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.7;Aprovado;308162003;2011.2
11124100;2011.2;1105188;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.3;Aprovado;308162003;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;7;Aprovado;308162003;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;7.7;Aprovado;308162837;2011.2
11124100;2011.2;1114052;UNID. ACAD. DE ESTATÍSTICA;5.1;Aprovado;308162837;2011.2
11124100;2011.2;1108025;UNID. ACAD. DE FÍSICA;7;Aprovado;308162837;2011.2
11124100;2011.2;1105187;UNID. ACAD. DE ENGENHARIA MECÂNICA;8;Aprovado;308162837;2011.2
11124100;2011.2;1503048;UNID. ACAD. DE ENGENHARIA CIVIL;5.4;Aprovado;308162837;2011.2
11124100;2011.2;1105183;UNID. ACAD. DE ENGENHARIA MECÂNICA;6.2;Aprovado;308162837;2011.2
11124100;2011.2;1105186;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.6;Aprovado;308162621;2011.2
11124100;2011.2;1105013;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.1;Aprovado;308162621;2011.2
11124100;2011.2;1105188;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.4;Aprovado;308162621;2011.2
11124100;2011.2;1105187;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.5;Aprovado;308162621;2011.2
11124100;2011.2;1108024;UNID. ACAD. DE FÍSICA;8.8;Aprovado;308162621;2011.2
11124100;2011.2;1105025;UNID. ACAD. DE ENGENHARIA MECÂNICA;8;Aprovado;308162621;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308163110;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;5.4;Aprovado;308163110;2011.2
11124100;2011.2;1411001;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308163110;2011.2
11124100;2011.2;1107131;UNID. ACAD. DE ENGENHARIA QUÍMICA;5;Aprovado;308163110;2011.2
11124100;2011.2;1105155;UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO;7.5;Aprovado;308163110;2011.2
11124100;2011.2;1105301;UNID. ACAD. DE ENGENHARIA MECÂNICA;1;Reprovado;308163110;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;1.6;Reprovado;308161127;2011.2
11124100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;2.1;Reprovado;308161127;2011.2
11124100;2011.2;1305036;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.4;Aprovado;308161127;2011.2
11124100;2011.2;1305033;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.3;Aprovado;308161127;2011.2
11124100;2011.2;1105301;UNID. ACAD. DE ENGENHARIA MECÂNICA;9;Aprovado;308161127;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;7;Aprovado;308161127;2011.2
11124100;2011.2;1105155;UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO;8.3;Aprovado;308161127;2011.2
11124100;2011.2;1105013;UNID. ACAD. DE ENGENHARIA MECÂNICA;8.2;Aprovado;308161991;2011.2
11124100;2011.2;1109053;UNID. ACAD. DE MATEMÁTICA;0.8;Reprovado;308161991;2011.2
11124100;2011.2;1109049;UNID. ACAD. DE MATEMÁTICA;2.1;Reprovado;308161991;2011.2
11124100;2011.2;1304055;UNID. ACAD. DE EDUCAÇÃO;8.5;Aprovado;308161991;2011.2
11124100;2011.2;1105187;UNID. ACAD. DE ENGENHARIA MECÂNICA;7.8;Aprovado;308161991;2011.2
11124100;2011.2;1105155;UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO;0;Reprovado por Falta;308162333;2011.2
11124100;2011.2;1105301;UNID. ACAD. DE ENGENHARIA MECÂNICA;1;Reprovado;308162333;2011.2
11124100;2011.2;1305033;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;0;Reprovado por Falta;308162333;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;0;Reprovado por Falta;308162333;2011.2
11124100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308162333;2011.2
11124100;2011.2;1305036;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;0;Reprovado por Falta;308162333;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308162333;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;5;Aprovado;308162435;2011.2
11124100;2011.2;1503070;UNID. ACAD. DE ENGENHARIA CIVIL;0;Reprovado por Falta;308162435;2011.2
11124100;2011.2;1305033;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;8.3;Aprovado;308162435;2011.2
11124100;2011.2;1105155;UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO;7;Aprovado;308162435;2011.2
11124100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;5.3;Aprovado;308162435;2011.2
11124100;2011.2;1305036;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;0;Reprovado por Falta;308162435;2011.2
11124100;2011.2;1105301;UNID. ACAD. DE ENGENHARIA MECÂNICA;9;Aprovado;308162435;2011.2
11124100;2011.2;1109050;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308280248;2011.2
11124100;2011.2;1411001;UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO;0;Reprovado por Falta;308280248;2011.2
11124100;2011.2;1105301;UNID. ACAD. DE ENGENHARIA MECÂNICA;1;Reprovado;308280248;2011.2
11124100;2011.2;1109035;UNID. ACAD. DE MATEMÁTICA;0;Reprovado por Falta;308280248;2011.2
11124100;2011.2;1105155;UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO;0;Reprovado por Falta;308280248;2011.2
